,Saturday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.20 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
(Sem.)(Gr.) - (Section),Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A - I,MAT 1101,ABM,1501,,,,CSE 1100,SN,1503,CSE 1100,SN,1503,ECO 1101,DKR,UB-110,ECO 1101,DKR,UB-110
1A - II,,,,,,,,,,,,,,,,,,
1B - I,,,,MAT 1101,ABM,1501,CSE 1102,SHB,1504,CSE 1102,SHB,1504,CSE 1101,SHB,1501,,,
1B - II,,,,,,,,,,,,,,,,,,
2A - I,,,,,,,,,,,,,,,,,,
2A - II,,,,,,,,,,,,,,,,,,
2B - I,,,,,,,,,,CSE 1201,SAK,1012,EEE 1201,MAR,1012,,,
2B - II,,,,,,,,,,,,,,,,,,
3A - I,EEE 2103,SN,UB-111,BCC 2101,FAR,UB-110,,,,,,,,,,,,
3A - II,,,,,,,,,,,,,,,,,,
3B - I,,,,EEE 2103,AM,UB-111,,,,MAT 2105,ABM,1501,,,,,,
3B - II,,,,,,,,,,,,,,,,,,
4A - I,MAT 2207,RD,1012,CSE 2208,SAK,1504,EEE 2206,MAR,1506,,,,CSE 3107,SN,UB-111,,,
4A - II,,,,,,,,,,EEE 2206,MAR,1506,,,,,,
5A - I,,,,,,,CSE 3105,AM,UB-110,,,,,,,,,
5A - II,,,,,,,,,,,,,,,,,,
5B - I,CSE 3103,FAR,UB-110,STA 3001,MAT1,1012,,,,CSE 3105,RD,UB-111,,,,CSE 3106,RD,1503
5B - II,,,,,,,,,,,,,CSE 3106,RD,1503,,,
6A - I,,,,,,,,,,,,,,,,,,
6A - II,,,,,,,,,,,,,,,,,,
7A - I,CSE 4103,DRI,Online,,,,,,,CSE 4104,DRI,Online,CSE 4104,DRI,Online,,,
7A - II,,,,CSE 4104,DRI,Online,CSE 4104,DRI,Online,,,,CSE 4118,MMH,Online,CSE 4118,MMH,1505
8A - I,,,,,,,,,,,,,,,,,,
8A - II,,,,,,,,,,,,,,,,,,
10A,,,,,,,CSE 4233,MN,Online,CSE 4112,MMH,Online,CSE 4145,MAK,Online,,,
10B,,,,,,,,,,CSE 4145,MAK,Online,CSE 4233,MN,Online,,,
CP Comm.,,,,,,,,,,,,,,,,,,
H/W & IoT Comm.,,,,,,,,,,,,,,,,,,
S/W Comm.,,,,,,,,,,,,,,,,,,
ML Comm.,,,,,,,,,,,,,,,,,,
N/W & CySec Comm.,,,,,,,,,,,,,,,,,,
Arch.,,,,,,,,,,,,,,,,,,
English,,,,,,,CSE 1101,SAK,UB-103,,,,,,,,,
Bangla,,,,,,,,,,,,,,,,,,
BBA,,,,,,,,,,,,,,,,,,
Islamic Studies,,,,,,,,,,,,,,,,,,
Govt. & Politics,,,,,,,,,,,,,,,,,,
Law,,,,,,,ICT 1002,RD,114,,,,,,,,,
"FA, Dance & Music",,Extra,UB-103,,Extra,UB-103,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sunday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.20 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
(Sem.)(Gr.) - (Section),Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A - I,PHY 1101,SAR,UB-111,MAT 1101,ABM,2004,BDS 1101,JMF,2004,CSE 1101,ANM,1012,,,,,,
1A - II,,,,,,,,,,,,,CSE 1102,ANM,1501L,CSE 1102,ANM,1501L
1B - I,MAT 1101,ABM,1501,PHY 1101,SAR,1012,CSE 1101,SHB,1501,BDS 1101,JMF,2004,,,,,,
1B - II,,,,,,,,,,,,,,,,,,
2A - I,,,,CSE 1203,FI,1501,EEE 1201,MN,UB-110,MAT 1203,ABM,1501,STA 1201,MAT1,1012,,,
2A - II,,,,,,,,,,,,,,,,,,
2B - I,,,,,,,,,,,,,EEE 1201,MAR,UB-111,,,
2B - II,CSE 1202,SDS,1503,CSE 1202,SDS,1503,CSE 1204,EKH,1504,CSE 1204,EKH,1504,,,,,,
3A - I,CSE 2102,ARD,1504,CSE 2102,ARD,1504,CSE 2101,ARD,1012,EEE 2104,MAR,1506,BCC 2101,FAR,UB-110,,,
3A - II,,,,EEE 2104,MAR,1506,,,,,,,,,,,,
3B - I,,,,,,,,,,,,,,,,,,
3B - II,,,,,,,,,,,,,,,,,,
4A - I,,,,CSE 3107,SN,UB-111,CSE 2200,AIN,1505,CSE 2200,AIN,1505,,,,CSE 2207,AIN,UB-110
4A - II,,,,,,,,,,,,,CSE 2208,EKH,1504,,,
5A - I,CSE 3100,EKH,1505,CSE 3100,EKH,1505,STA 3001,MAT1,UB-111,CSE 3105,AM,UB-110,,,,,,
5A - II,,,,,,,,,,,,,,,,,,
5B - I,CSE 3107,SN,2004,,,,,,,,,,CSE 3102,AM,1503,CSE 3102,AM,1503
5B - II,,,,,,,,,,,,,,,,,,
6A - I,CSE 3206,EJ,1501L,,,,CSE 3202,FHM,1501L,CSE 3202,FHM,1501L,CSE 3201,FHM,2004,,,
6A - II,,,,CSE 3206,EJ,1501L,,,,,,,,,,,,
7A - I,,,,,,,,,,,,,CSE 4118,MMH,1505,CSE 4118,MMH,1505
7A - II,,,,,,,,,,,,,,,,,,
8A - I,,,,,,,,,,,,,,,,,,
8A - II,,,,,,,,,,,,,,,,,,
10A,CSE 4233,MN,UB-110,,,,,,,,,,CSE 4145,MAK,1501,,,
10B,,,,CSE 4233,MN,UB-110,,,,IRI 4201,ZMZ,UB-111,,,,CSE 4145,MAK,1501
CP Comm.,,,,,,,,,,,,,,,,,,
H/W & IoT Comm.,,,,,,,,,,,,,H/W & IoT Comm.,MN,1506,H/W & IoT Comm.,MN,1506
S/W Comm.,,,,,,,,,,,,,,,,,,
ML Comm.,,,,,,,,,,,,,,,,,,
N/W & CySec Comm.,,,,,,,,,,,,,,,,,,
Arch.,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,
Bangla,,,,,,,,,,,,,,,,,,
BBA,,,,,,,CSE 1102,EJ,TBA,,,,,,,,,
Islamic Studies,,,,,,,,,,,,,,,,,,
Govt. & Politics,,,,,,,,,,,,,,,,,,
Law,,,,,,,,,,,,,,,,,,
"FA, Dance & Music",,,,,,,ICT 1002,SN,Annex 503,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Monday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.20 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
(Sem.)(Gr.) - (Section),Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A - I,PHY 1102,SAR,1506,,,,,,,BDS 1101,JMF,UB-110,,,,,,
1A - II,,,,PHY 1102,SAR,1506,,,,,,,,,,,,
1B - I,,,,,,,,,,,,,BDS 1101,JMF,UB-110,ECO 1101,DKR,2004
1B - II,,,,,,,,,,,,,,,,,,
2A - I,EEE 1201,MN,UB-111,ECS 1203,BAD,2004,EEE 1202,MN,1506,,,,CSE 1201,TA,1501,,,
2A - II,,,,,,,,,,EEE 1202,MN,1506,,,,,,
2B - I,MAT 1203,ABM,1501,STA 1201,MAT1,1012,CSE 1202,SAK,1504,CSE 1202,SAK,1504,,,,,,
2B - II,,,,,,,,,,,,,,,,,,
3A - I,,,,MAT 2105,ABM,UB-111,CSE 2110,SDO,1503,CSE 2110,SDO,1503,CSE 2100,AIN,1503,CSE 2100,AIN,1503
3A - II,,,,,,,,,,,,,CSE 2102,ARD,1504,CSE 2102,ARD,1504
3B - I,BCC 2101,EKH,UB-110,,,,CSE 2100,SHB,1501L,CSE 2100,SHB,1501L,CSE 2102,RD,1501L,CSE 2102,RD,1501L
3B - II,,,,,,,CSE 2102,TA,1505,CSE 2102,TA,1505,EEE 2104,MAR,1506,,,
4A - I,MAT 2208,RD,1503,,,,,,,,,,EEE 2205,SAR,UB-111,,,
4A - II,,,,MAT 2208,RD,1503,,,,,,,,,,,,
5A - I,,,,CSE 3101,TD,1501,CSE 3107,EJ,UB-110,,,,CSE 3103,FAR,1012,,,
5A - II,,,,,,,,,,,,,,,,,,
5B - I,,,,,,,STA 3001,MAT1,1012,CSE 3105,RD,UB-111,,,,CSE 3103,FAR,1012
5B - II,,,,,,,,,,,,,,,,,,
6A - I,CSE 3209,FA,1012,,,,CSE 3203,MAK,1501,CSE 3205,EJ,1501,CSE 3207,TD,2004,,,
6A - II,,,,,,,,,,,,,,,,,,
7A - I,CSE 4101,EJ,2004,PPD 4001,FTS,UB-110,CSE 4105,FA,2004,,,,,,,CSE 4117,MMH,UB-111
7A - II,,,,,,,,,,,,,,,,,,
8A - I,,,,,,,CSE 4217,SDS,UB-111,CSE 4201,FA,2004,,,,,,
8A - II,CSE 4218,SDS,1501L,CSE 4218,SDS,1501L,,,,,,,,,,,,
10A,,,,,,,,,,IRI 4201,ZMZ,1012,,,,CSE 4233,MN,UB-110
10B,,,,,,,,,,,,,,,,CSE 4145,MAK,1501
CP Comm.,,,,,,,,,,,,,,,,,,
H/W & IoT Comm.,,,,,,,,,,,,,,,,,,
S/W Comm.,,,,,,,,,,,,,,,,,,
ML Comm.,ML Comm.,MMH,1505,ML Comm.,MMH,1505,,,,,,,,,,,,
N/W & CySec Comm.,,,,,,,,,,,,,N/W & CySec Comm.,FHM,1505,N/W & CySec Comm.,FHM,1505
Arch.,,,,,,,,,,,,,,,,,,
English,,,,CSE 1101,FA,TBA,,,,,,,,,,,,
Bangla,,,,,,,,,,,,,CSE 1101,EJ,TBA,,,
BBA,,,,,,,,,,,,,,,,,,
Islamic Studies,,,,,,,,,,,,,,,,,,
Govt. & Politics,,,,,,,,,,,,,,,,,,
Law,,,,,,,ICT 1002,RD,1011,,,,,,,,,
"FA, Dance & Music",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Tuesday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.20 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
(Sem.)(Gr.) - (Section),Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A - I,,,,,,,,,,,,,,,,,,
1A - II,,,,,,,,,,,,,,,,,,
1B - I,CSE 1100,SN,1501L,CSE 1100,SN,1501L,,,,,,,,,,,,
1B - II,,,,,,,CSE 1102,SHB,1503,CSE 1102,SHB,1503,,,,,,
2A - I,MAT 1203,ABM,UB-110,,,,,,,,,,CSE 1202,TA,1505,CSE 1202,TA,1505
2A - II,,,,,,,CSE 1204,FI,1501L,CSE 1204,FI,1501L,CSE 1202,FHM,1504,CSE 1202,FHM,1504
2B - I,CSE 1204,ANM,1503,CSE 1204,ANM,1503,EEE 1202,MN,1506,CSE 1203,ANM,UB-111,,,,,,
2B - II,,,,,,,,,,,,,,,,EEE 1202,MN,1506
3A - I,,,,MAT 2105,ABM,UB-111,,,,,,,,,,,,
3A - II,,,,,,,CSE 2110,SDO,1505,CSE 2110,SDO,1505,,,,,,
3B - I,,,,BCC 2101,EKH,1012,,,,EEE 2104,MAR,1506,,,,,,
3B - II,,,,,,,,,,,,,,,,,,
4A - I,,,,,,,,,,EEE 2205,SAR,1501,CSE 2201,SHB,1501,,,
4A - II,,,,,,,,,,,,,,,,,,
5A - I,,,,,,,CSE 3107,EJ,UB-111,CSE 3103,FAR,UB-110,,,,,,
5A - II,,,,,,,,,,,,,CSE 3100,EKH,1501L,CSE 3100,EKH,1501L
5B - I,CSE 3104,MAR,1506,CSE 3104,MAR,1506,,,,,,,CSE 3101,AM,1012,,,
5B - II,,,,,,,CSE 3102,AM,1504,CSE 3102,AM,1504,,,,,,
6A - I,,,,,,,CSE 3203,MAK,2004,CSE 3205,EJ,1012,CSE 3209,FA,2004,,,
6A - II,CSE 3204,MAK,1504,CSE 3204,MAK,1504,,,,,,,,,,,,
7A - I,,,,,,,,,,,,,,,,,,
7A - II,,,,,,,,,,,,,,,,,,
8A - I,CSE 4218,SDS,1505,CSE 4218,SDS,1505,CSE 4201,FA,1012,CSE 4217,SDS,2004,,,,,,
8A - II,,,,,,,,,,,,,,,,,,
10A,,,,,,,,,,,,,CSE 4145,MAK,UB-111,,,
10B,,,,,,,CSE 4112,MMH,UB-110,,,,CSE 4233,MN,UB-110,,,
CP Comm.,,,,,,,,,,,,,CP Comm.,SDO,1503,CP Comm.,SDO,1503
H/W & IoT Comm.,,,,,,,,,,,,,,,,,,
S/W Comm.,,,,,,,,,,,,,,,,,,
ML Comm.,,,,,,,,,,,,,,,,,,
N/W & CySec Comm.,,,,,,,,,,,,,,,,,,
Arch.,,,,,,,PHY 0533-1105,SAR,1609,,,,,,,,,
English,,,,,,,,,,,,,,,,,,
Bangla,,,,,,,,,,,,,,,,,,
BBA,,,,,,,CSE 1102,SDS,TBA,,,,,,,,,
