Batch,Semester,Course Code,Course Title,Credit,Credit Hour,Section,Faculty Initial,Facuty Name
38th,1st,CSE 1100,Computer Fundamentals and Ethics,1.5,3,A,FHM,Md. Fazle Hasan Mihad
,,,,,3,B,FA,Faria Afrin Niha
,,CSE 1101,Structured Programming,3,3,A,ANM,Ahamad Nokib Mozumder
,,,,,3,B,SHB,Sazzad Hossain Bhuiyan
,,CSE 1102,Structured Programming Sessional,1.5,3,A1,ANM,Ahamad Nokib Mozumder
,,,,,3,A2,ANM,Ahamad Nokib Mozumder
,,,,,3,B1,ANM,Ahamad Nokib Mozumder
,,,,,3,B2,ANM,Ahamad Nokib Mozumder
,,MAT 1101,Calculus and Co-ordinate Geometry,3,3,A,ABM,Md. Abdullah Bin Masud
,,,,,3,B,ABM,Md. Abdullah Bin Masud
,,ECA 1101,Economics and Accounting,3,3,A,FAS,Fatima Saki
,,,,,3,B,FAS,Fatima Saki
,,BDS 1101,Bangladesh Studies,3,3,A,DJM,Dr. Jobayar Mohamed Faruk
,,,,,3,B,DJM,Dr. Jobayar Mohamed Faruk
,,PHY 1101,Physics,3,3,A,SAR,Saeema Rahim
,,,,,3,B,SAR,Saeema Rahim
,,PHY 1102,Physics Sessional,0.75,1.5,A1,SAR,Saeema Rahim
,,,,,1.5,A2,SAR,Saeema Rahim
,,,,,1.5,B1,SAR,Saeema Rahim
,,,,,1.5,B2,SAR,Saeema Rahim
,,,Total,18.75,54,20,,
,,,,,,,,
37th,2nd,CSE 1201,Data Structure,3,3,A,THL,Md Tousif Hasan Lavlu
,,,,,3,B,SAK,Shad Al Kaiser
,,CSE 1202,Data Structure Sessional,1.5,3,A1,THL,Md Tousif Hasan Lavlu
,,,,,3,A2,THL,Md Tousif Hasan Lavlu
,,,,,3,B1,THL,Md Tousif Hasan Lavlu
,,,,,3,B2,THL,Md Tousif Hasan Lavlu
,,EEE 1101,Electrical Circuits,3,3,A,SAR,Saeema Rahim
,,,,,3,B,MN,Md. Naim
,,EEE 1102,Electrical Circuits Sessional,0.75,1.5,A1,SAR,Saeema Rahim
,,,,,1.5,A2,SAR,Saeema Rahim
,,,,,1.5,B1,MN,Md. Naim
,,,,,1.5,B2,MN,Md. Naim
,,CSE 1203,Object Oriented Programming,3,3,A,FI,Faisal Imran
,,,,,3,B,EKH,Ekhfa Hossain
,,CSE 1204,Object Oriented Programming Sessional,1.5,3,A1,FI,Faisal Imran
,,,,,3,A2,FI,Faisal Imran
,,,,,3,B1,EKH,Ekhfa Hossain
,,,,,3,B2,EKH,Ekhfa Hossain
,,MAT 1203,Vector Analysis and Linear Algebra,3,3,A,ABM,Md. Abdullah Bin Masud
,,,,,3,B,ABM,Md. Abdullah Bin Masud
,,ECS 1203,English Communication Skills - II,2,1.5,A,MJL,Morium-E-Jannat Lima
,,,,,1.5,B,JFU,Jannatul Ferdous Urmi
,,CSE 1210,Competitive Programming Sessional-I,1.5,3,A1,IAZ,Imam Abu Zubaer
,,,,,3,A2,IAZ,Imam Abu Zubaer
,,,,,3,B1,SDS,Samirah Dilshad Salsabil
,,,,,3,B2,IAZ,Imam Abu Zubaer
,,,Total,19.25,69,25,,
,,,,,,,,
36th,3rd,CSE 2100,Software Development Project-I,1.5,3,A1,EKH,Ekhfa Hossain
,,,,,3,A2,SAK,Shad Al Kaiser
,,CSE 2101,Python Programming Language,3,3,A,TA,Tahsin Alam
,,CSE 2102,Python Programming Language Sessional,1.5,3,A1,MDS,Md. Delwar Shahadat Deepu
,,,,,3,A2,MDS,Md. Delwar Shahadat Deepu
,,BCC 2101,Biology and Chemistry in Computation,3,3,A,EKH,Ekhfa Hossain
,,EEE 2103,Digital Logic Design,3,3,A,MN,Md. Naim
,,EEE 2104,Digital Logic Design Sessional,0.75,1.5,A1,MN,Md. Naim
,,,,,1.5,A2,MN,Md. Naim
,,CSE 2103,Discrete Mathematics,3,3,A,TA,Tahsin Alam
,,MAT 2105,"Complex Variable, Differential Equation and Harmonic Analysis",3,3,A,ABM,Md. Abdullah Bin Masud
,,CSE 2110,Competitive Programming Sessional-II,1.5,3,A1,JFJ,Jannatul Ferdos Jui
,,,,,3,A2,JFJ,Jannatul Ferdos Jui
,,,Total,20.25,36,13,,
,,,,,,,,
35th,4th,CSE 2200,Web (Front End) Development Project,1.5,3,A1,AIN,Md. Abdullah Ibn Noor
,,,,,3,A2,AIN,Md. Abdullah Ibn Noor
,,,,,3,B1,AIN,Md. Abdullah Ibn Noor
,,,,,3,B2,AIN,Md. Abdullah Ibn Noor
,,CSE 2201,Design and Analysis of Algorithms,3,3,A,SDO,Sakhor Das Opi
,,,,,3,B,SHB,Sazzad Hossain Bhuiyan
,,CSE 2202,Design and Analysis of Algorithms Sessional,1.5,3,A1,SDO,Sakhor Das Opi
,,,,,3,A2,SDO,Sakhor Das Opi
,,,,,3,B1,SDO,Sakhor Das Opi
,,,,,3,B2,SDO,Sakhor Das Opi
,,EEE 2205,Electronic Device and Circuits,3,3,A,SAR,Saeema Rahim
,,,,,3,B,MN,Md. Naim
,,EEE 2206,Electronic Device and Circuits Sessional,0.75,1.5,A1,TA,Tahsin Alam
,,,,,1.5,A2,TA,Tahsin Alam
,,,,,1.5,B1,MN,Md. Naim
,,,,,1.5,B2,MN,Md. Naim
,,MAT 2207,Numerical Methods,3,3,A,EJ,Easrat Jahan
,,,,,3,B,DMAA,Prof. Dr. Md. Ayub Ali
,,MAT 2208,Numerical Methods Sessional,0.75,1.5,A1,EJ,Easrat Jahan
,,,,,1.5,A2,EJ,Easrat Jahan
,,,,,1.5,B1,EJ,Easrat Jahan
,,,,,1.5,B2,EJ,Easrat Jahan
,,CSE 2207,Database Management System,3,3,A,AIN,Md. Abdullah Ibn Noor
,,,,,3,B,JFJ,Jannatul Ferdos Jui
,,CSE 2208,Database Management System Sessional,0.75,1.5,A1,THL,Md Tousif Hasan Lavlu
,,,,,1.5,A2,THL,Md Tousif Hasan Lavlu
,,,,,1.5,B1,JFJ,Jannatul Ferdos Jui
