SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY
COURSE CURRICULUM SPECIFIC PROFORMA (CCSP)
B.Sc. (Hons) in Computer Science and Engineering",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"1st Semester (Level 1, Term 1) ( Section: A+B)",,,,,"2nd Semester (Level 1, Term 2) (Section: A+B)",,,,,,,,
Code,Course Title,Credits,Assign Teacher,,Code,Course Title,Credits,Assign Teacher,,,,,
CSE 1100,Computer Fundamentals and Ethics,1.5,Shafayatun Nur,,CSE 1201,Data Structure,3,"Tahsin Alam & 
Shad Al Kaiser
",,,,,
CSE 1101,Structured Programming,3,"Ahamad Nokib Mozumder & 
Sazzad Hossain Bhuiyan",,CSE 1202,Data Structure Sessional,1.5,"Tahsin Alam, Md. Fazle Hasan Mihad, 
Shad Al Kaiser & Samirah Dilshad Salsabil
",,,,,
CSE 1102,Structured Programming Sessional,1.5,"Ahamad Nokib Mozumder & 
Sazzad Hossain Bhuiyan",,EEE 1201,Electrical Circuits,3,"Md. Naim & 
Md. Anas Rohan
",,,,,
MAT 1101,Calculus and Co-ordinate Geometry,3,Dr. Md. Abdullah Bin Masud,,EEE 1202,Electrical Circuits Sessional,0.75,Md. Naim,,,,,
ECO 1101,Principles of Economics,3,Afrin Jahan,,CSE 1203,Object Oriented Programming,3,"Faisal Imran &
Ahamad Nokib Mozumder",,,,,
BDS 1101,Bangladesh Studies,3,Dr. Jobayar Mohammad Faruk,,CSE 1204,Object Oriented Programming Sessional,1.5,"Faisal Imran, 
Ahamad Nokib Mozumder & 
Ekhfa Hossain",,,Semester,Student,Total Section
PHY 1101,Physics,3,Saeema Rahim,,MAT 1203,Vector Analysis and Linear Algebra,3,Dr. Md. Abdullah Bin Masud,,,1st,120,3
PHY 1102,Physics Sessional,0.75,Saeema Rahim,,ECS 1203,English Communication Skills,2,Not assigned yet,,,2nd,99,2
,,,,,STA 1201,Statistics,3,MAT1 (not assigned yet),,,3rd,81,2
Total,,18.75,,,Total,,20.75,,,,4th,35,1
,,,,,,,,,,,5th,71,2
,,,,,,,,,,,6th,38,1
"3rd Semester (Level 2, Term 1) (Section: A + B)",,,,,"4th Semester (Level 2, Term 2) (Section: A)",,,,,,7th,47,1
Code,Course Title,Credits,Assign Teacher,,Code,Course Title,Credits,Assign Teacher,,,8th,28,1
CSE 2100,Software Development Project-I,1.5,"Md. Abdullah Ibn Noor & 
Sazzad Hossain Bhuiyan",,CSE 2200,Web (Front End) Development Project ,1.5,Md. Abdullah Ibn Noor,,,10th,99,2
CSE 2101,Python Programming Language,3,"Abdur Rab Dhruba &
Tahsin Alam",,CSE 2201,Design and Analysis of Algorithms,3,Sazzad Hossain Bhuiyan,,,Total,618,15
CSE 2102,Python Programming Language Sessional,1.5,"Abdur Rab Dhruba, 
Md. Delwar Shahadat Deepu &
Tahsin Alam",,CSE 2202,Design and Analysis of Algorithms Sessional,1.5,Md Tousif Hasan Lavlu,,,,,
BCC 2101,Biology and Chemistry in Computation,3,"Md Tousif Hasan Lavlu &
Ekhfa Hossain",,EEE 2205,Electronic Drives and Circuits,3,Saeema Rahim,,,,,
EEE 2103,Digital Logic Design,3,"Shafayatun Nur &
Jannatul Ferdos Jui",,EEE 2206,Electronic Drives and Circuits Sessional,0.75,Md. Anas Rohan,,,,,
EEE 2104,Digital Logic Design Sessional,0.75,Md. Anas Rohan,,MAT 2207,Numerical Methods,3,Md. Delwar Shahadat Deepu,,,,,
CSE 2103,Discrete Mathematics,3,Abdur Rab Dhruba,,MAT 2208,Numerical Methods Sessional,0.75,Md. Delwar Shahadat Deepu,,,,,
MAT 2105,"Complex Variable, Differential Equation and Harmonic Analysis",3,Dr. Md. Abdullah Bin Masud,,CSE 2207,Database Management System,3,Md. Abdullah Ibn Noor,,Shafayatun Nur,,,
CSE 2110,Competitive Programming Sessional-II,1.5,Sakhor Das Opi,,CSE 2208,Database Management System Sessional,0.75,"Shad Al Kaiser &
Ekhfa Hossain ",,,,,
,,,,,CSE 3107,Software Engineering,3,Shafayatun Nur,CSE 2209,Artificial Intelligence,3,,"Due to departmental academic committe decision,  the software engineering (CSE3107)  is offered in 4th semester and Artificial Intelligence (CSE 2209) will offer in 5th semester."
Total,,20.25,,,,,,,,,,,Effective from Summer 2026
,,,,,Total,,20.25,,,,,,
,,,,,,,,,,,,,
"5th Semester (Level 3, Term 1) (Section: A+B)",,,,,"6th Semester (Level 3, Term 2) (Section: A)",,,,,,,,
Code,Course Title,Credits,Assign Teacher,,Code,Course Title,Credits,Assign Teacher,,,,,
CSE 3100,Web (Back End) Development Project ,1.5,"Ekhfa Hossain &
Samirah Dilshad Salsabil",,CSE 3200,Advanced Software/Hardware Development Project,0.75,Tahsin Alam,,,,,
CSE 3101,Formal Languages and Compilers,3,"Tauhid &
Jannatul Ferdos Jui",,CSE 3201,Data Communication and Computer Networks,3,Md. Fazle Hasan Mihad,,,,,
CSE 3102,Formal Languages and Compilers Sessional,1.5,"Tauhid &
Jannatul Ferdos Jui",,CSE 3202,Data Communication and Computer Networks Sessional,1.5,Md. Fazle Hasan Mihad,,,,,
STA 3001,Statistics,3,MAT1 (not assigned yet),,CSE 3203,Machine learning,3,Md. Akram Hossain,,,,,
CSE 3103,"Microprocessor, Microcontroller and Assembly Language",3,Tousif Hasan Lavlu,,CSE 3204,Machine learning sessional,1.5,Md. Akram Hossain,,,,,
CSE 3104,"Microprocessor, Microcontroller and Assembly Language Sessional",1.5,"Tauhid &
Md. Anas Rohan",,CSE 3205,Information System Analysis and Design,3,Easrat Jahan,,,,,
CSE 3105,Operating Systems,3,"Jannatul Ferdos Jui & 
Md. Delwar Shahadat Deepu",,CSE 3206,Information System Analysis and Design Sessional,0.75,Easrat Jahan,,,,,
CSE 3106,Operating Systems Sessional,0.75,"Jannatul Ferdos Jui & 
Md. Delwar Shahadat Deepu",,CSE 3207,Computer Architecture,3,Tauhid,,,,,
CSE 3107,Software Engineering,3,"Easrat Jahan &
Shafayatun Nur",,CSE 3209,Software Project Management,3,Faria Afrin Niha,,,,,
,,,,,CSE 3210,Mobile Application Development Lab,0.75,Shad Al Kaiser,,,,,
Total,,20.25,,,,,,,,,,,
,,,,,Total,,20.25,,,,,,
,,,,,,,,,,,,,
"7th Semester  (Level 4, Term 1) (Section: A)",,,,,"8th Semester  (Level 4, Term 2) (Section: A)",,,,,,,,
Code,Course Title,Credits,Assign Teacher,,Code,Course Title,Credits,Assign Teacher,,,,,
CSE 4100,"Thesis or Project - I, Internship based (Phase I, to be completed in 4th Year 7th Semester)",3,,,CSE 4200,"Thesis or Project - II, Internship based (Phase II, continued from 4th Year 7th Semester)",3,,,,,,
CSE 4101,IT Service Management,3,Easrat Jahan,,CSE 4201,Cloud Computing Tools and Techniques,3,Faria Afrin Niha,,,,,
CSE 4103,Cybersecurity,3,Prof. Dr. Rabiul Islam,,CSE 4202,Cloud Computing Tools and Techniques Sessional,0.75,Faria Afrin Niha,,,,,
